Índice,Histograma,Ecualizado
0,456,456
1,104,560
2,112,672
3,123,795
4,166,961
5,179,1140
6,213,1353
7,273,1626
8,336,1962
9,350,2312
10,507,2819
11,646,3465
12,910,4375
13,1185,5560
14,1701,7261
15,2681,9942
16,4531,14473
17,6603,21076
18,8441,29517
19,10374,39891
20,11441,51332
21,12333,63665
22,13098,76763
23,12901,89664
24,12169,101833
25,11216,113049
26,10203,123252
27,9286,132538
28,8298,140836
29,8006,148842
30,7591,156433
31,6766,163199
32,6202,169401
33,5635,175036
34,5122,180158
35,4699,184857
36,4655,189512
37,4498,194010
38,4527,198537
39,4738,203275
40,4783,208058
41,4936,212994
42,4981,217975
43,4923,222898
44,4868,227766
45,4570,232336
46,4234,236570
47,3927,240497
48,3755,244252
49,3357,247609
50,3178,250787
51,2942,253729
52,2721,256450
53,2647,259097
54,2410,261507
55,2472,263979
56,2387,266366
57,2352,268718
58,2285,271003
59,2185,273188
60,2155,275343
61,2181,277524
62,2305,279829
63,2276,282105
64,2328,284433
65,2297,286730
66,2407,289137
67,2387,291524
68,2508,294032
69,2625,296657
70,2732,299389
71,3010,302399
72,3424,305823
73,4479,310302
74,5149,315451
75,5599,321050
76,6098,327148
77,6273,333421
78,6505,339926
79,7708,347634
80,8649,356283
81,8616,364899
82,9529,374428
83,10226,384654
84,10183,394837
85,11807,406644
86,11625,418269
87,11117,429386
88,10262,439648
89,9339,448987
90,7928,456915
91,7617,464532
92,7428,471960
93,7482,479442
94,7303,486745
95,6881,493626
96,6336,499962
97,6794,506756
98,7002,513758
99,6632,520390
100,6006,526396
101,5573,531969
102,6153,538122
103,5902,544024
104,5351,549375
105,5469,554844
106,5229,560073
107,4942,565015
108,5006,570021
109,5097,575118
110,4647,579765
111,4967,584732
112,4895,589627
113,5210,594837
114,5331,600168
115,4745,604913
116,4751,609664
117,4499,614163
118,4775,618938
119,4613,623551
120,4681,628232
121,4462,632694
122,4406,637100
123,4356,641456
124,4166,645622
125,4139,649761
126,3952,653713
127,3830,657543
128,3723,661266
129,3733,664999
130,3460,668459
131,3565,672024
132,3249,675273
133,3199,678472
134,3176,681648
135,3202,684850
136,3132,687982
137,3022,691004
138,3016,694020
139,3033,697053
140,2974,700027
141,2947,702974
142,2956,705930
143,2965,708895
144,2882,711777
145,2846,714623
146,2873,717496
147,2769,720265
148,2768,723033
149,2851,725884
150,2733,728617
151,2748,731365
152,2797,734162
153,2731,736893
154,2774,739667
155,2791,742458
156,2728,745186
157,2817,748003
158,2749,750752
159,2830,753582
160,2828,756410
161,2776,759186
162,2942,762128
163,2759,764887
164,2840,767727
165,2882,770609
166,2956,773565
167,2765,776330
168,2853,779183
169,2899,782082
170,2829,784911
171,2833,787744
172,2859,790603
173,2903,793506
174,2818,796324
175,2779,799103
176,2744,801847
177,2647,804494
178,2664,807158
179,2601,809759
180,2653,812412
181,2558,814970
182,2523,817493
183,2491,819984
184,2508,822492
185,2407,824899
186,2354,827253
187,2284,829537
188,2220,831757
189,2314,834071
190,2186,836257
191,2234,838491
192,2138,840629
193,2075,842704
194,2118,844822
195,2043,846865
196,2086,848951
197,2017,850968
198,2052,853020
199,1867,854887
200,1892,856779
201,1841,858620
202,1835,860455
203,1768,862223
204,1731,863954
205,1844,865798
206,1564,867362
207,1571,868933
208,1531,870464
209,1559,872023
210,1419,873442
211,1417,874859
212,1440,876299
213,1325,877624
214,1298,878922
215,1288,880210
216,1189,881399
217,1201,882600
218,1146,883746
219,1123,884869
220,1061,885930
221,1079,887009
222,977,887986
223,980,888966
224,884,889850
225,876,890726
226,915,891641
227,861,892502
228,788,893290
229,802,894092
230,741,894833
231,761,895594
232,706,896300
233,699,896999
234,689,897688
235,708,898396
236,665,899061
237,638,899699
238,578,900277
239,653,900930
240,688,901618
241,677,902295
242,658,902953
243,652,903605
244,698,904303
245,735,905038
246,742,905780
247,795,906575
248,851,907426
249,1011,908437
250,1008,909445
251,1209,910654
252,1400,912054
253,1315,913369
254,2000,915369
255,6231,921600
