valor,histo,eqHisto
0,1,1
1,0,1
2,0,1
3,0,1
4,1,1
5,0,1
6,5,1
7,10,1
8,32,1
9,51,1
10,104,1
11,196,1
12,217,1
13,261,1
14,351,1
15,563,1
16,888,1
17,825,1
18,722,1
19,680,1
20,1055,2
21,1193,2
22,1317,2
23,1324,2
24,1490,2
25,1682,2
26,2054,2
27,2134,3
28,2251,3
29,1910,3
30,2268,3
31,2886,4
32,2914,4
33,2314,4
34,1530,4
35,2157,4
36,2606,5
37,2585,5
38,2637,5
39,2908,5
40,2821,6
41,2748,6
42,2756,6
43,2842,6
44,3296,7
45,3423,7
46,2598,7
47,2636,8
48,2867,8
49,2312,8
50,3226,8
51,1820,9
52,2332,9
53,2741,9
54,2691,9
55,2687,10
56,2742,10
57,2936,10
58,2976,10
59,3096,11
60,2989,11
61,3079,11
62,3151,12
63,3130,12
64,3504,12
65,4452,13
66,3698,13
67,3778,13
68,3532,14
69,4109,14
70,3673,14
71,4532,15
72,3713,15
73,5618,16
74,5117,16
75,2493,16
76,3684,17
77,5716,17
78,7479,18
79,4216,18
80,4569,19
81,6847,20
82,8585,20
83,5242,21
84,5081,21
85,7679,22
86,9984,23
87,7766,24
88,8324,25
89,8126,25
90,8431,26
91,9188,27
92,8543,28
93,9758,29
94,5867,29
95,8501,30
96,9822,31
97,10435,32
98,11111,33
99,10834,34
100,11250,35
101,11403,36
102,11641,37
103,12900,39
104,15830,40
105,13264,41
106,7449,42
107,10893,43
108,15238,45
109,19840,47
110,7772,47
111,10173,48
112,13097,49
113,13695,51
114,13948,52
115,13769,53
116,13990,55
117,14456,56
118,15960,58
119,15095,59
120,14934,61
121,15082,62
122,16287,63
123,20113,65
124,21108,67
125,9292,68
126,14543,70
127,18761,71
128,23471,74
129,17277,75
130,10187,76
131,15623,78
132,23016,80
133,28022,83
134,13542,84
135,12260,85
136,17797,87
137,23984,89
138,31405,92
139,12114,93
140,14693,95
141,19163,96
142,19897,98
143,20872,100
144,23405,103
145,22114,105
146,20932,107
147,20578,109
148,20968,111
149,22340,113
150,23828,115
151,21922,117
152,22241,119
153,28174,122
154,31629,125
155,12904,126
156,17278,128
157,21665,130
158,28215,133
159,31255,136
160,12743,137
161,17068,138
162,20998,140
163,27245,143
164,31757,146
165,12633,147
166,15777,149
167,19639,151
168,25647,153
169,32854,156
170,12213,157
171,13182,159
172,17691,160
173,20044,162
174,22979,164
175,19257,166
176,17681,168
177,18318,170
178,21143,172
179,21434,174
180,24831,176
181,19946,178
182,9101,179
183,15916,180
184,17308,182
185,21149,184
186,23257,186
187,9346,187
188,11179,188
189,14020,190
190,18078,191
191,26567,194
192,9307,195
193,6983,195
194,12322,197
195,18497,198
196,19959,200
197,12419,201
198,6039,202
199,12657,203
200,13039,204
201,15943,206
202,20007,208
203,15135,209
204,10078,210
205,6375,211
206,3973,211
207,10618,212
208,14148,214
209,11643,215
210,5029,215
211,7772,216
212,8192,217
213,8871,218
214,12019,219
215,12360,220
216,8171,221
217,3774,221
218,7814,222
219,10122,223
220,8246,223
221,3345,224
222,4872,224
223,5338,225
224,6029,225
225,7258,226
226,7785,227
227,7454,227
228,5693,228
229,2289,228
230,4343,229
231,6574,229
232,2582,230
233,2955,230
234,4205,230
235,6263,231
236,7551,232
237,6308,232
238,5341,233
239,4659,233
240,1983,233
241,1699,233
242,6052,234
243,7941,235
244,6750,235
245,3063,236
246,5582,236
247,7224,237
248,13489,238
249,27951,241
250,26178,243
251,23381,246
252,12131,247
253,25446,249
254,32028,252
255,29168,255
