valor,histo,eqHisto
0,456,1
1,104,1
2,112,1
3,123,1
4,166,1
5,179,1
6,213,1
7,273,1
8,336,1
9,350,2
10,507,2
11,646,2
12,910,2
13,1185,2
14,1701,3
15,2681,4
16,4531,5
17,6603,7
18,8441,9
19,10374,12
20,11441,15
21,12333,18
22,13098,22
23,12901,26
24,12169,29
25,11216,32
26,10203,35
27,9286,37
28,8298,40
29,8006,42
30,7591,44
31,6766,46
32,6202,48
33,5635,49
34,5122,51
35,4699,52
36,4655,53
37,4498,54
38,4527,56
39,4738,57
40,4783,58
41,4936,60
42,4981,61
43,4923,62
44,4868,64
45,4570,65
46,4234,66
47,3927,67
48,3755,68
49,3357,69
50,3178,70
51,2942,71
52,2721,72
53,2647,72
54,2410,73
55,2472,74
56,2387,74
57,2352,75
58,2285,76
59,2185,76
60,2155,77
61,2181,77
62,2305,78
63,2276,79
64,2328,79
65,2297,80
66,2407,81
67,2387,81
68,2508,82
69,2625,83
70,2732,83
71,3010,84
72,3424,85
73,4479,86
74,5149,88
75,5599,89
76,6098,91
77,6273,93
78,6505,95
79,7708,97
80,8649,99
81,8616,101
82,9529,104
83,10226,107
84,10183,110
85,11807,113
86,11625,116
87,11117,119
88,10262,122
89,9339,125
90,7928,127
91,7617,129
92,7428,131
93,7482,133
94,7303,135
95,6881,137
96,6336,139
97,6794,141
98,7002,143
99,6632,144
100,6006,146
101,5573,148
102,6153,149
103,5902,151
104,5351,152
105,5469,154
106,5229,155
107,4942,157
108,5006,158
109,5097,159
110,4647,161
111,4967,162
112,4895,163
113,5210,165
114,5331,166
115,4745,168
116,4751,169
117,4499,170
118,4775,172
119,4613,173
120,4681,174
121,4462,175
122,4406,177
123,4356,178
124,4166,179
125,4139,180
126,3952,181
127,3830,182
128,3723,183
129,3733,184
130,3460,185
131,3565,186
132,3249,187
133,3199,188
134,3176,189
135,3202,190
136,3132,191
137,3022,191
138,3016,192
139,3033,193
140,2974,194
141,2947,195
142,2956,196
143,2965,196
144,2882,197
145,2846,198
146,2873,199
147,2769,199
148,2768,200
149,2851,201
150,2733,202
151,2748,203
152,2797,203
153,2731,204
154,2774,205
155,2791,206
156,2728,206
157,2817,207
158,2749,208
159,2830,209
160,2828,209
161,2776,210
162,2942,211
163,2759,212
164,2840,213
165,2882,213
166,2956,214
167,2765,215
168,2853,216
169,2899,217
170,2829,217
171,2833,218
172,2859,219
173,2903,220
174,2818,220
175,2779,221
176,2744,222
177,2647,223
178,2664,223
179,2601,224
180,2653,225
181,2558,226
182,2523,226
183,2491,227
184,2508,228
185,2407,228
186,2354,229
187,2284,230
188,2220,230
189,2314,231
190,2186,231
191,2234,232
192,2138,233
193,2075,233
194,2118,234
195,2043,234
196,2086,235
197,2017,236
198,2052,236
199,1867,237
200,1892,237
201,1841,238
202,1835,238
203,1768,239
204,1731,239
205,1844,240
206,1564,240
207,1571,240
208,1531,241
209,1559,241
210,1419,242
211,1417,242
212,1440,243
213,1325,243
214,1298,243
215,1288,244
216,1189,244
217,1201,244
218,1146,245
219,1123,245
220,1061,245
221,1079,245
222,977,246
223,980,246
224,884,246
225,876,246
226,915,247
227,861,247
228,788,247
229,802,247
230,741,248
231,761,248
232,706,248
233,699,248
234,689,248
235,708,249
236,665,249
237,638,249
238,578,249
239,653,249
240,688,249
241,677,250
242,658,250
243,652,250
244,698,250
245,735,250
246,742,251
247,795,251
248,851,251
249,1011,251
250,1008,252
251,1209,252
252,1400,252
253,1315,253
254,2000,253
255,6231,255
