valor,histo,eqHisto
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,1,1
34,1,1
35,0,1
36,1,1
37,2,1
38,1,1
39,4,1
40,7,1
41,4,1
42,12,1
43,14,1
44,18,1
45,68,1
46,125,1
47,222,1
48,354,1
49,594,1
50,871,1
51,1145,1
52,1442,1
53,1741,2
54,1984,2
55,2243,2
56,2622,2
57,2989,3
58,3855,3
59,4555,3
60,5554,4
61,6428,5
62,7208,5
63,7694,6
64,8366,7
65,8974,8
66,9181,9
67,9285,10
68,9053,11
69,8800,11
70,8571,12
71,8884,13
72,9306,14
73,9642,15
74,10367,16
75,11284,17
76,11905,18
77,11940,20
78,12250,21
79,12536,22
80,12510,23
81,12419,25
82,12174,26
83,11993,27
84,11477,28
85,10978,29
86,10628,30
87,10175,31
88,9943,32
89,10036,33
90,9890,34
91,10073,35
92,10076,36
93,9992,37
94,9836,38
95,9791,39
96,9632,40
97,9645,41
98,9640,42
99,9398,43
100,9554,44
101,9614,45
102,9448,46
103,9167,47
104,9147,48
105,9096,48
106,8865,49
107,8575,50
108,8150,51
109,8023,52
110,7736,53
111,7567,53
112,7535,54
113,7631,55
114,7814,56
115,7809,56
116,7977,57
117,7856,58
118,8191,59
119,8073,60
120,8210,60
121,8303,61
122,8572,62
123,8726,63
124,9205,64
125,9483,65
126,10322,66
127,11140,67
128,11887,68
129,12410,69
130,12988,71
131,13509,72
132,14141,73
133,14221,75
134,14823,76
135,15086,78
136,15406,79
137,15333,81
138,15679,82
139,16174,84
140,16740,86
141,16883,87
142,17430,89
143,17687,91
144,17508,92
145,17662,94
146,18031,96
147,18489,98
148,18737,100
149,18506,102
150,18591,103
151,18106,105
152,18153,107
153,18332,109
154,19397,111
155,19804,113
156,19971,115
157,19711,117
158,19355,119
159,19350,120
160,18970,122
161,18447,124
162,18249,126
163,17108,128
164,16227,129
165,15169,131
166,14505,132
167,14382,134
168,14657,135
169,15053,137
170,16027,138
171,17324,140
172,19128,142
173,20551,144
174,21118,146
175,21641,148
176,21155,150
177,19642,152
178,16501,154
179,13371,155
180,11208,156
181,9856,157
182,9242,158
183,7706,159
184,6185,160
185,5206,160
186,4718,161
187,4437,161
188,4448,161
189,4363,162
190,4456,162
191,4427,163
192,4557,163
193,4629,164
194,4486,164
195,4529,165
196,5013,165
197,5221,166
198,6465,166
199,9534,167
200,12660,168
201,16332,170
202,22884,172
203,32366,175
204,40254,179
205,46779,184
206,62933,190
207,81907,198
208,89105,207
209,98334,217
210,123320,229
211,149108,244
212,88386,253
213,19592,255
214,1661,255
215,89,255
216,38,255
217,24,255
218,6,255
219,9,255
220,2,255
221,1,255
222,1,255
223,0,255
224,0,255
225,0,255
226,0,255
227,0,255
228,0,255
229,0,255
230,0,255
231,0,255
232,0,255
233,0,255
234,0,255
235,0,255
236,0,255
237,0,255
238,0,255
239,0,255
240,0,255
241,0,255
242,0,255
243,0,255
244,0,255
245,0,255
246,0,255
247,0,255
248,0,255
249,0,255
250,0,255
251,0,255
252,0,255
253,0,255
254,0,255
255,0,255
