valor,histo,eqHisto
0,1,1
1,0,1
2,0,1
3,356,1
4,83786,2
5,1156782,15
6,729199,24
7,1071227,36
8,526189,43
9,705860,51
10,628076,58
11,251964,61
12,465023,66
13,226149,69
14,460226,74
15,217485,77
16,368017,81
17,137725,83
18,293268,86
19,207478,89
20,300637,92
21,317736,96
22,141209,97
23,316705,101
24,271095,104
25,241626,107
26,254682,110
27,250518,113
28,47912,114
29,344279,118
30,153355,119
31,262363,122
32,376812,127
33,146581,128
34,263039,131
35,151918,133
36,251273,136
37,173070,138
38,317376,142
39,181702,144
40,269663,147
41,156882,149
42,202880,151
43,153872,153
44,160526,155
45,322732,159
46,209654,161
47,249370,164
48,85243,165
49,246740,168
50,178822,170
51,157267,172
52,136354,173
53,225794,176
54,157698,178
55,111539,179
56,184050,181
57,23910,182
58,241473,184
59,90756,185
60,70761,186
61,27633,187
62,91461,188
63,77861,189
64,69530,189
65,148265,191
66,22317,191
67,114768,193
68,34653,193
69,106231,194
70,18341,195
71,75440,195
72,60566,196
73,60104,197
74,61680,198
75,60187,198
76,44626,199
77,40921,199
78,40446,200
79,48353,200
80,36520,201
81,35859,201
82,34561,202
83,10150,202
84,38852,202
85,10927,202
86,32412,203
87,35782,203
88,40375,204
89,44345,204
90,35969,204
91,31773,205
92,15077,205
93,40160,205
94,79626,206
95,47741,207
96,21260,207
97,57822,208
98,209308,210
99,111850,212
100,72624,212
101,30836,213
102,65489,214
103,160027,215
104,31692,216
105,13795,216
106,30383,216
107,40131,217
108,44279,217
109,21881,218
110,9018,218
111,18135,218
112,24928,218
113,3528,218
114,3075,218
115,16066,218
116,7462,218
117,15634,219
118,19753,219
119,21062,219
120,13049,219
121,6122,219
122,10025,219
123,5775,220
124,17482,220
125,19350,220
126,13546,220
127,6954,220
128,13547,220
129,4052,220
130,19822,221
131,14550,221
132,11572,221
133,4313,221
134,17807,221
135,10761,221
136,4419,221
137,7200,221
138,4296,222
139,10123,222
140,2722,222
141,11585,222
142,8309,222
143,7057,222
144,1732,222
145,7754,222
146,2248,222
147,3773,222
148,1161,222
149,1048,222
150,3529,222
151,1990,222
152,5559,222
153,3413,222
154,1216,222
155,2010,222
156,1124,222
157,2858,222
158,673,222
159,1113,222
160,487,222
161,76,222
162,73,222
163,20,222
164,28,222
165,6,222
166,0,222
167,0,222
168,0,222
169,0,222
170,0,222
171,0,222
172,0,222
173,0,222
174,0,222
175,0,222
176,0,222
177,0,222
178,0,222
179,0,222
180,0,222
181,0,222
182,0,222
183,0,222
184,0,222
185,0,222
186,0,222
187,0,222
188,0,222
189,0,222
190,0,222
191,0,222
192,0,222
193,0,222
194,0,222
195,0,222
196,0,222
197,0,222
198,0,222
199,0,222
200,0,222
201,0,222
202,0,222
203,0,222
204,0,222
205,0,222
206,0,222
207,0,222
208,0,222
209,0,222
210,0,222
211,0,222
212,0,222
213,0,222
214,0,222
215,0,222
216,0,222
217,0,222
218,0,222
219,0,222
220,0,222
221,0,222
222,0,222
223,0,222
224,0,222
225,0,222
226,0,222
227,0,222
228,0,222
229,0,222
230,0,222
231,0,222
232,0,222
233,0,222
234,0,222
235,0,222
236,0,222
237,0,222
238,0,222
239,0,222
240,0,222
241,0,222
242,0,222
243,0,222
244,0,222
245,0,222
246,0,222
247,0,222
248,0,222
249,0,222
250,0,222
251,0,222
252,0,222
253,0,222
254,0,222
255,0,222
