valor,histo,eqHisto
0,1,1
1,0,1
2,0,1
3,356,1
4,85210,2
5,1559729,20
6,891855,31
7,1462006,48
8,677297,55
9,964688,67
10,834984,76
11,285434,80
12,584685,86
13,252969,89
14,560872,96
15,240656,99
16,431680,104
17,147150,105
18,332750,109
19,229293,112
20,342248,116
21,363596,120
22,152322,122
23,363309,126
24,300365,130
25,263037,133
26,278357,136
27,274207,139
28,49063,140
29,386011,144
30,163554,146
31,285964,149
32,422559,154
33,154591,156
34,285776,160
35,159686,161
36,273569,165
37,184510,167
38,353514,171
39,197986,173
40,297641,177
41,166357,179
42,216267,181
43,161795,183
44,169547,185
45,352856,189
46,224473,192
47,270422,195
48,88158,196
49,267998,199
50,189803,201
51,165833,203
52,142599,205
53,241363,208
54,165179,209
55,117359,211
56,194440,213
57,24195,213
58,254234,216
59,93429,217
60,72409,218
61,27903,219
62,93797,220
63,79650,221
64,71114,221
65,152957,223
66,22485,223
67,118045,225
68,35050,225
69,109243,226
70,18507,227
71,77227,228
72,61820,228
73,61447,229
74,62964,230
75,61300,230
76,45234,231
77,41474,231
78,41054,232
79,49236,233
80,36962,233
81,36298,233
82,35061,234
83,10198,234
84,39391,234
85,10982,235
86,32738,235
87,36218,235
88,40811,236
89,44896,236
90,36381,237
91,32094,237
92,15150,237
93,40687,238
94,80987,239
95,48393,239
96,21381,240
97,58737,240
98,214242,243
99,114750,244
100,74026,245
101,31141,245
102,66578,246
103,163469,248
104,31939,248
105,13866,248
106,30596,249
107,40463,249
108,44614,250
109,22000,250
110,9040,250
111,18200,250
112,25024,251
113,3530,251
114,3077,251
115,16098,251
116,7477,251
117,15663,251
118,19821,251
119,21132,252
120,13068,252
121,6128,252
122,10033,252
123,5779,252
124,17522,252
125,19356,253
126,13552,253
127,6954,253
128,13550,253
129,4052,253
130,19822,253
131,14551,253
132,11578,253
133,4313,254
134,17807,254
135,10765,254
136,4419,254
137,7200,254
138,4296,254
139,10123,254
140,2722,254
141,11585,254
142,8309,254
143,7057,255
144,1732,255
145,7754,255
146,2248,255
147,3773,255
148,1161,255
149,1048,255
150,3529,255
151,1990,255
152,5559,255
153,3413,255
154,1216,255
155,2010,255
156,1124,255
157,2858,255
158,673,255
159,1113,255
160,487,255
161,76,255
162,73,255
163,20,255
164,28,255
165,6,255
166,0,255
167,0,255
168,0,255
169,0,255
170,0,255
171,0,255
172,0,255
173,0,255
174,0,255
175,0,255
176,0,255
177,0,255
178,0,255
179,0,255
180,0,255
181,0,255
182,0,255
183,0,255
184,0,255
185,0,255
186,0,255
187,0,255
188,0,255
189,0,255
190,0,255
191,0,255
192,0,255
193,0,255
194,0,255
195,0,255
196,0,255
197,0,255
198,0,255
199,0,255
200,0,255
201,0,255
202,0,255
203,0,255
204,0,255
205,0,255
206,0,255
207,0,255
208,0,255
209,0,255
210,0,255
211,0,255
212,0,255
213,0,255
214,0,255
215,0,255
216,0,255
217,0,255
218,0,255
219,0,255
220,0,255
221,0,255
222,0,255
223,0,255
224,0,255
225,0,255
226,0,255
227,0,255
228,0,255
229,0,255
230,0,255
231,0,255
232,0,255
233,0,255
234,0,255
235,0,255
236,0,255
237,0,255
238,0,255
239,0,255
240,0,255
241,0,255
242,0,255
243,0,255
244,0,255
245,0,255
246,0,255
247,0,255
248,0,255
249,0,255
250,0,255
251,0,255
252,0,255
253,0,255
254,0,255
255,0,255
