valor,histo,eqHisto
0,0,1
1,0,1
2,0,1
3,0,1
4,1,1
5,0,1
6,1,1
7,0,1
8,2,1
9,5,1
10,6,1
11,18,1
12,35,1
13,105,1
14,297,1
15,902,1
16,1927,1
17,4635,1
18,7719,1
19,12528,1
20,18172,1
21,27075,1
22,37026,2
23,48490,2
24,60317,2
25,72851,3
26,84551,3
27,97109,4
28,110064,5
29,120587,6
30,131232,7
31,139343,7
32,146734,8
33,151753,9
34,158839,10
35,164158,12
36,169099,13
37,173212,14
38,179006,15
39,185628,16
40,190258,17
41,195899,19
42,202094,20
43,209159,21
44,216485,23
45,221881,24
46,228821,26
47,233628,27
48,238586,29
49,242642,31
50,246478,32
51,249144,34
52,250251,36
53,250766,37
54,250757,39
55,251041,40
56,249693,42
57,248397,44
58,246431,45
59,245075,47
60,243569,49
61,240640,50
62,237880,52
63,232942,53
64,228284,55
65,224251,56
66,217299,58
67,212720,59
68,205278,61
69,199520,62
70,192545,63
71,187407,64
72,181425,66
73,177663,67
74,173299,68
75,170947,69
76,170376,70
77,169144,71
78,168451,72
79,167703,73
80,167816,75
81,167236,76
82,166406,77
83,168227,78
84,168309,79
85,169302,80
86,168147,81
87,167177,82
88,166543,83
89,166527,84
90,165339,86
91,164771,87
92,166570,88
93,165636,89
94,164931,90
95,163841,91
96,162934,92
97,160972,93
98,162089,94
99,162453,95
100,164214,96
101,163222,97
102,161086,99
103,161338,100
104,167119,101
105,169520,102
106,164901,103
107,163382,104
108,159983,105
109,159983,106
110,164695,107
111,164185,108
112,171978,109
113,169918,111
114,175743,112
115,174822,113
116,172300,114
117,169907,115
118,171771,116
119,185151,117
120,191497,119
121,203549,120
122,228030,122
123,259313,123
124,256145,125
125,244055,127
126,221771,128
127,238993,130
128,257083,131
129,265248,133
130,282353,135
131,284605,137
132,283643,139
133,284662,141
134,288909,142
135,305197,145
136,323158,147
137,349123,149
138,398895,152
139,398089,154
140,444056,157
141,348055,159
142,349336,162
143,345582,164
144,338597,166
145,326082,168
146,292357,170
147,296246,172
148,293571,174
149,280253,176
150,294387,178
151,280758,180
152,283383,182
153,270189,184
154,261708,185
155,240953,187
156,271899,189
157,242292,190
158,248399,192
159,265307,194
160,247552,195
161,206908,197
162,219394,198
163,225292,200
164,203849,201
165,217296,202
166,188619,204
167,182931,205
168,218807,206
169,236698,208
170,172686,209
171,180156,210
172,169979,211
173,139178,212
174,126080,213
175,122599,214
176,150913,215
177,148586,216
178,117398,217
179,102532,217
180,85086,218
181,78581,218
182,93668,219
183,105284,220
184,136589,221
185,121343,221
186,119189,222
187,122817,223
188,122649,224
189,98619,224
190,103678,225
191,114354,226
192,132446,227
193,89380,227
194,99141,228
195,89224,229
196,89012,229
197,111317,230
198,105152,231
199,129035,231
200,115921,232
201,132177,233
202,137810,234
203,139814,235
204,109983,236
205,103389,236
206,101550,237
207,104476,238
208,126516,238
209,93987,239
210,124101,240
211,105189,241
212,95910,241
213,106484,242
214,113197,243
215,122456,244
216,97682,244
217,110552,245
218,101067,246
219,115784,246
220,88939,247
221,80373,247
222,103676,248
223,129188,249
224,155270,250
225,131044,251
226,92808,251
227,89893,252
228,88526,253
229,73764,253
230,52751,253
231,35789,254
232,36105,254
233,31587,254
234,23262,254
235,22713,254
236,34143,255
237,24476,255
238,16577,255
239,1161,255
240,347,255
241,235,255
242,196,255
243,144,255
244,140,255
245,124,255
246,107,255
247,80,255
248,82,255
249,49,255
250,50,255
251,34,255
252,36,255
253,33,255
254,25,255
255,53,255
